CPRG-216,Object-Oriented Programming 1,3
COMM-238,Technical Communications I,3
MATH-237,Mathematics for Technologists,3
CPRG-250,Database Design and Programming,3
CPNT-217,Introduction to Network Systems,3
CPSY-202,User Experience and Design,3
CPRG-211,Object-Oriented Programming 2,3
CPRG-213,Web Development 1,3
CPSY-200,Software Analysis and Design,3
PHIL-241,Critical Thinking,3
CPSY-301,Software Projects,3
CPRG-307,Database Programming,3
CPRG-304,Object-Oriented Programming 3,3
CPRG-306,Web Development 2,3
CPRG-303,Mobile Application Development,3
CPSY-300,Operating Systems,3
CPRG-305,Software Testing and Deployment,3
INTP-302,Emerging Trends in Software Development,3
ITSC-320,Software Security,3
PROJ-309,Capstone Project,3
PERS-050,Student Rights and Responsibilities,0
PREP-100,The SAIT Experience,0
CPWK-255,Cooperative Work Term,0
